,moviename,movieInfo,sumBoxDesc,enNumDw,boxRate,showCount
0,变形金刚：超能勇士崛起,上映7天,3.36亿,万,27.50%,128547
1,蜘蛛侠：纵横宇宙,上映14天,2.62亿,万,19.50%,49734
2,速度与激情10,上映30天,9.52亿,万,12.20%,35139
3,北京2022,上映28天,970.9万,万,7.90%,317
4,人生路不熟,上映49天,11.33亿,万,7.80%,31524
5,天空之城,上映15天,1.17亿,万,6.90%,24626
6,长空之王,上映49天,8.34亿,万,6.20%,5737
7,银河护卫队3,上映42天,6.01亿,万,1.90%,7493
8,哆啦A梦：大雄与天空的理想乡,上映15天,9378.0万,万,1.60%,12355
9,一路幸福,上映18天,488.3万,万,1.30%,35
10,极寒之城,上映6天,564.2万,万,0.70%,7328
11,望道,上映84天,6395.6万,万,0.60%,67
12,温柔壳,上映21天,1652.0万,万,0.40%,2554
13,灌篮高手,上映57天,6.50亿,万,0.40%,1469
14,铃芽之旅,上映84天,8.06亿,万,0.40%,954
15,刀剑神域进击篇：暮色黄昏,上映21天,3263.7万,万,0.30%,1780
16,万湖会议,上映7天,57.9万,万,0.20%,685
17,这么多年,上映49天,3.00亿,万,0.20%,1269
18,我们的岁月,上映91天,525.7万,万,0.20%,15
19,宇宙护卫队：风暴力量,上映48天,1962.0万,万,0.20%,106
20,井冈星火,上映49天,1292.1万,万,0.20%,45
21,小美人鱼,上映21天,2631.3万,万,0.10%,582
22,不孤岛,上映21天,252.3万,万,0.10%,29
23,中国乒乓之绝地反击,,1.00亿,万,0.10%,2
24,检察风云,上映48天,6141.0万,万,0.10%,122
25,加油吧！乡亲们,上映27天,41.3万,万,0.10%,30
26,高铁作证,,262.2万,万,0.10%,5
27,醒来2,上映29天,260.4万,万,0.10%,10
28,周永开,上映56天,447.4万,万,0.10%,28
29,请别相信她,上映27天,5212.2万,万,0.10%,708
30,闪电侠,点映,252.5万,万,0.10%,12
31,煞面迷影,上映14天,213.0万,万,<0.1%,1602
32,长沙夜生活,上映49天,2030.2万,万,<0.1%,97
33,守鸟人,展映,4550,万,<0.1%,1
34,征程之星火,上映43天,34.6万,万,<0.1%,25
35,巧虎奇幻舞台历险记,上映15天,616.5万,万,<0.1%,829
36,余生那些年,上映27天,2143.5万,万,<0.1%,348
37,疯狂元素城,零点场,2792,万,<0.1%,86
38,川流不“熄”,上映21天,278.7万,万,<0.1%,41
39,翻转的手心,上映26天,12.8万,万,<0.1%,1
40,造梦之家,上映22天,218.6万,万,<0.1%,52
41,凌晨两点半2,上映27天,693.3万,万,<0.1%,627
42,超级马力欧兄弟大电影,上映72天,1.71亿,万,<0.1%,191
43,我的游戏情人,上映21天,19.4万,万,<0.1%,1
44,暴风,上映63天,3898.4万,万,<0.1%,26
45,战俘拳王,上映21天,11.4万,万,<0.1%,23
46,浏阳河上,,224.6万,万,<0.1%,2
47,长江,,2.1万,万,<0.1%,1
48,乔治娅,上映13天,17.4万,万,<0.1%,13
49,复合吧！前任,上映34天,468.4万,万,<0.1%,35
50,让这首歌作证,,62.5万,万,<0.1%,5
51,远山花开,上映7天,5.7万,万,<0.1%,86
52,海门一号,上映7天,5511,万,<0.1%,7
53,魔幻奇缘之宝石公主,上映48天,624.2万,万,<0.1%,32
54,生命底色,上映15天,1.8万,万,<0.1%,7
55,神兜兜和奶爸,上映15天,19.6万,万,<0.1%,21
56,故乡异客,上映28天,18.4万,万,<0.1%,6
57,冰川之恋,上映28天,3.0万,万,<0.1%,4
58,午夜迷途,零点场,37,万,<0.1%,17
59,新猪猪侠大电影・超级赛车,上映48天,5360.4万,万,<0.1%,222
